transaction_key,client_key,article_key,date_key,montant_usd,note_avis,mode_paiement,date_achat
2486,4108,4,20230125,135.0,3.1,Cash,2023-01-25
2487,4108,18,20230211,2814.0,4.4,Credit Card,2023-02-11
2488,4108,33,20230216,36.0,,Cash,2023-02-16
2489,4108,35,20230319,2356.0,4.8,Credit Card,2023-03-19
2490,4108,13,20230406,135.0,4.8,Credit Card,2023-04-06
2491,4108,23,20230419,155.0,4.2,Credit Card,2023-04-19
2492,4108,50,20230501,139.0,3.1,Cash,2023-05-01
2493,4108,20,20230502,31.0,2.4,Cash,2023-05-02
2494,4108,36,20230525,125.0,2.9,Cash,2023-05-25
2495,4108,19,20230607,188.0,3.2,Credit Card,2023-06-07
2496,4108,43,20230613,22.0,1.6,Credit Card,2023-06-13
2497,4108,48,20230619,133.0,4.1,Credit Card,2023-06-19
2498,4108,49,20230904,104.0,2.8,Cash,2023-09-04
2499,4108,11,20230912,101.0,1.1,Cash,2023-09-12
2500,4108,7,20231001,46.0,1.8,Cash,2023-10-01
2501,4109,47,20221018,80.0,,Credit Card,2022-10-18
2502,4109,12,20221220,4932.0,4.0,Credit Card,2022-12-20
2503,4109,22,20221221,55.0,1.0,Credit Card,2022-12-21
2504,4109,15,20230112,180.0,2.6,Credit Card,2023-01-12
2505,4109,4,20230302,3731.0,,Credit Card,2023-03-02
2506,4109,5,20230319,34.0,1.0,Cash,2023-03-19
2507,4109,26,20230416,26.0,2.8,Credit Card,2023-04-16
2508,4109,44,20230520,45.0,3.2,Cash,2023-05-20
2509,4109,25,20230605,101.0,2.3,Credit Card,2023-06-05
2510,4109,20,20230721,188.0,,Credit Card,2023-07-21
2511,4109,9,20230812,17.0,,Cash,2023-08-12
2512,4109,46,20230916,169.0,4.6,Credit Card,2023-09-16
2513,4109,10,20230930,127.0,2.8,Cash,2023-09-30
2514,4110,35,20221004,167.0,4.6,Credit Card,2022-10-04
2515,4110,16,20221011,2653.0,4.2,Credit Card,2022-10-11
2516,4110,27,20221015,42.0,4.0,Cash,2022-10-15
2517,4110,40,20230109,86.0,,Cash,2023-01-09
2518,4110,7,20230120,164.0,2.7,Cash,2023-01-20
2519,4110,10,20230123,33.0,1.5,Credit Card,2023-01-23
2520,4110,48,20230126,102.0,1.4,Credit Card,2023-01-26
2521,4110,19,20230130,82.0,2.1,Credit Card,2023-01-30
2522,4110,23,20230210,186.0,4.1,Cash,2023-02-10
2523,4110,42,20230215,47.0,1.6,Cash,2023-02-15
2524,4110,34,20230307,125.0,3.3,Cash,2023-03-07
2525,4110,41,20230312,110.0,4.6,Credit Card,2023-03-12
2526,4110,31,20230317,71.0,3.2,Cash,2023-03-17
2527,4110,2,20230319,63.0,4.1,Credit Card,2023-03-19
2528,4110,13,20230401,112.0,4.7,Credit Card,2023-04-01
2529,4110,38,20230422,58.0,3.2,Cash,2023-04-22
2530,4110,40,20230627,144.0,3.6,Credit Card,2023-06-27
2531,4110,2,20230704,38.0,3.6,Credit Card,2023-07-04
2532,4110,34,20230707,40.0,3.5,Credit Card,2023-07-07
2533,4110,48,20230707,98.0,4.8,Cash,2023-07-07
2534,4110,20,20231001,46.0,4.6,Cash,2023-10-01
2535,4111,34,20221006,39.0,4.8,Cash,2022-10-06
2536,4111,44,20221017,36.0,3.9,Credit Card,2022-10-17
2537,4111,41,20221030,55.0,1.0,Cash,2022-10-30
2538,4111,41,20221123,190.0,4.4,Credit Card,2022-11-23
2539,4111,22,20221222,154.0,1.4,Credit Card,2022-12-22
2540,4111,43,20221223,109.0,3.4,Cash,2022-12-23
2541,4111,46,20230114,140.0,2.9,Credit Card,2023-01-14
2542,4111,37,20230115,64.0,2.3,Credit Card,2023-01-15
2543,4111,49,20230128,154.0,1.1,Credit Card,2023-01-28
2544,4111,10,20230209,110.0,3.0,Cash,2023-02-09
2545,4111,30,20230209,50.0,4.4,Credit Card,2023-02-09
2546,4111,42,20230306,85.0,3.4,Credit Card,2023-03-06
2547,4111,10,20230318,40.0,3.5,Cash,2023-03-18
2548,4111,45,20230321,182.0,2.8,Cash,2023-03-21
2549,4111,15,20230429,147.0,1.5,Credit Card,2023-04-29
2550,4111,2,20230510,81.0,1.9,Credit Card,2023-05-10
2551,4111,11,20230704,154.0,2.5,Credit Card,2023-07-04
2552,4111,29,20230731,57.0,3.6,Credit Card,2023-07-31
2553,4111,39,20230804,183.0,4.3,Cash,2023-08-04
2554,4111,24,20230806,31.0,4.9,Credit Card,2023-08-06
2555,4111,22,20230825,160.0,4.8,Cash,2023-08-25
2556,4111,26,20230915,120.0,1.2,Credit Card,2023-09-15
2557,4112,27,20221107,117.0,4.5,Cash,2022-11-07
2558,4112,15,20230302,46.0,3.0,Cash,2023-03-02
2559,4112,47,20230323,183.0,1.1,Cash,2023-03-23
2560,4112,37,20230430,139.0,,Credit Card,2023-04-30
2561,4112,23,20230506,91.0,2.6,Credit Card,2023-05-06
2562,4112,32,20230709,179.0,3.9,Cash,2023-07-09
2563,4112,25,20230901,130.0,,Credit Card,2023-09-01
2564,4113,49,20221011,10.0,,Credit Card,2022-10-11
2565,4113,8,20221015,149.0,1.4,Cash,2022-10-15
2566,4113,29,20221025,33.0,3.0,Cash,2022-10-25
2567,4113,40,20221217,154.0,4.6,Cash,2022-12-17
2568,4113,5,20230120,24.0,1.2,Credit Card,2023-01-20
2569,4113,8,20230314,132.0,,Credit Card,2023-03-14
2570,4113,35,20230404,180.0,4.5,Credit Card,2023-04-04
2571,4113,3,20230410,165.0,4.3,Cash,2023-04-10
2572,4113,47,20230507,136.0,3.6,Cash,2023-05-07
2573,4113,45,20230520,22.0,1.5,Cash,2023-05-20
2574,4113,11,20230521,30.0,3.1,Credit Card,2023-05-21
2575,4113,13,20230525,171.0,3.6,Cash,2023-05-25
2576,4113,35,20230603,200.0,2.9,Credit Card,2023-06-03
2577,4113,33,20230626,163.0,4.2,Cash,2023-06-26
2578,4113,12,20230703,133.0,4.9,Credit Card,2023-07-03
2579,4113,23,20230714,75.0,1.1,Credit Card,2023-07-14
2580,4113,16,20230805,155.0,1.1,Credit Card,2023-08-05
2581,4113,25,20230915,119.0,2.1,Credit Card,2023-09-15
2582,4114,17,20221010,35.0,4.4,Credit Card,2022-10-10
2583,4114,8,20221031,92.0,1.5,Cash,2022-10-31
2584,4114,28,20221210,131.0,3.7,Cash,2022-12-10
2585,4114,9,20230104,65.0,1.8,Cash,2023-01-04
2586,4114,41,20230402,154.0,2.3,Credit Card,2023-04-02
2587,4114,1,20230425,92.0,2.3,Credit Card,2023-04-25
2588,4114,9,20230511,153.0,4.7,Cash,2023-05-11
2589,4114,4,20230515,188.0,,Credit Card,2023-05-15
2590,4114,3,20230528,168.0,4.0,Cash,2023-05-28
2591,4114,29,20230604,63.0,1.8,Credit Card,2023-06-04
2592,4114,22,20230613,35.0,2.0,Credit Card,2023-06-13
2593,4114,21,20230615,84.0,3.8,Cash,2023-06-15
2594,4114,37,20230709,37.0,4.6,Credit Card,2023-07-09
2595,4114,9,20230824,33.0,2.8,Credit Card,2023-08-24
2596,4114,36,20230901,117.0,4.2,Cash,2023-09-01
2597,4115,1,20221008,150.0,3.3,Cash,2022-10-08
2598,4115,9,20221009,49.0,3.5,Credit Card,2022-10-09
2599,4115,28,20221019,28.0,3.0,Credit Card,2022-10-19
2600,4115,22,20221105,198.0,,Cash,2022-11-05
2601,4115,3,20221207,164.0,3.7,Credit Card,2022-12-07
2602,4115,48,20221229,17.0,4.1,Cash,2022-12-29
2603,4115,39,20230212,40.0,2.8,Cash,2023-02-12
2604,4115,31,20230217,190.0,2.8,Cash,2023-02-17
2605,4115,43,20230406,147.0,3.7,Cash,2023-04-06
2606,4115,24,20230411,172.0,3.2,Cash,2023-04-11
2607,4115,29,20230420,199.0,2.2,Credit Card,2023-04-20
2608,4115,17,20230509,178.0,,Credit Card,2023-05-09
2609,4115,47,20230603,157.0,3.8,Cash,2023-06-03
2610,4115,32,20230623,197.0,3.0,Credit Card,2023-06-23
2611,4115,28,20230626,84.0,1.0,Credit Card,2023-06-26
2612,4115,33,20230630,56.0,,Credit Card,2023-06-30
2613,4115,40,20230705,50.0,3.2,Cash,2023-07-05
2614,4115,47,20230711,2456.0,2.0,Credit Card,2023-07-11
2615,4115,38,20230723,165.0,4.1,Credit Card,2023-07-23
2616,4115,15,20230814,50.0,4.9,Cash,2023-08-14
2617,4115,43,20230815,11.0,,Credit Card,2023-08-15
2618,4115,33,20230920,49.0,2.8,Cash,2023-09-20
2619,4116,14,20221010,192.0,4.6,Cash,2022-10-10
2620,4116,39,20221020,34.0,2.7,Credit Card,2022-10-20
2621,4116,3,20221124,174.0,2.1,Credit Card,2022-11-24
2622,4116,30,20221216,86.0,4.1,Cash,2022-12-16
2623,4116,23,20230116,192.0,3.6,Credit Card,2023-01-16
2624,4116,35,20230116,124.0,3.7,Cash,2023-01-16
2625,4116,19,20230206,154.0,2.2,Cash,2023-02-06
2626,4116,29,20230211,180.0,,Cash,2023-02-11
2627,4116,29,20230322,126.0,1.7,Cash,2023-03-22
2628,4116,14,20230404,150.0,4.2,Cash,2023-04-04
2629,4116,7,20230412,25.0,3.6,Credit Card,2023-04-12
2630,4116,3,20230419,49.0,1.5,Credit Card,2023-04-19
2631,4116,21,20230505,68.0,1.7,Credit Card,2023-05-05
2632,4116,37,20230524,10.0,3.3,Credit Card,2023-05-24
2633,4116,6,20230726,107.0,3.7,Credit Card,2023-07-26
2634,4116,16,20230820,124.0,2.0,Credit Card,2023-08-20
2635,4116,34,20230918,173.0,4.7,Credit Card,2023-09-18
2636,4117,1,20221007,13.0,3.4,Cash,2022-10-07
2637,4117,43,20221022,49.0,2.8,Credit Card,2022-10-22
2638,4117,32,20221119,107.0,4.3,Credit Card,2022-11-19
2639,4117,25,20221211,156.0,2.5,Credit Card,2022-12-11
2640,4117,22,20221212,40.0,1.6,Cash,2022-12-12
2641,4117,29,20221216,99.0,3.8,Credit Card,2022-12-16
2642,4117,41,20221216,10.0,4.3,Credit Card,2022-12-16
2643,4117,25,20230207,140.0,4.0,Credit Card,2023-02-07
2644,4117,8,20230216,107.0,2.0,Credit Card,2023-02-16
2645,4117,6,20230306,153.0,1.7,Credit Card,2023-03-06
2646,4117,37,20230315,193.0,2.3,Credit Card,2023-03-15
2647,4117,39,20230321,70.0,1.2,Cash,2023-03-21
2648,4117,20,20230416,162.0,1.1,Cash,2023-04-16
2649,4117,30,20230421,126.0,2.4,Credit Card,2023-04-21
2650,4117,25,20230610,106.0,5.0,Credit Card,2023-06-10
2651,4117,20,20230621,112.0,1.7,Cash,2023-06-21
2652,4117,32,20230629,130.0,2.6,Cash,2023-06-29
2653,4117,29,20230829,30.0,,Credit Card,2023-08-29
2654,4117,42,20230903,129.0,1.6,Credit Card,2023-09-03
2655,4117,7,20230913,66.0,1.1,Credit Card,2023-09-13
2656,4118,3,20221014,47.0,3.8,Credit Card,2022-10-14
2657,4118,10,20221019,31.0,1.0,Credit Card,2022-10-19
2658,4118,43,20221204,67.0,3.1,Cash,2022-12-04
2659,4118,19,20221205,78.0,1.3,Credit Card,2022-12-05
2660,4118,23,20230112,152.0,1.1,Credit Card,2023-01-12
2661,4118,31,20230225,44.0,4.3,Credit Card,2023-02-25
2662,4118,25,20230320,133.0,4.5,Credit Card,2023-03-20
2663,4118,4,20230321,149.0,4.2,Cash,2023-03-21
2664,4118,31,20230324,155.0,,Cash,2023-03-24
2665,4118,1,20230325,111.0,4.1,Credit Card,2023-03-25
2666,4118,42,20230503,132.0,4.2,Credit Card,2023-05-03
2667,4118,37,20230513,139.0,4.4,Credit Card,2023-05-13
2668,4118,29,20230517,137.0,3.5,Credit Card,2023-05-17
2669,4118,42,20230605,17.0,4.7,Cash,2023-06-05
2670,4118,33,20230709,37.0,2.7,Cash,2023-07-09
2671,4118,25,20230804,170.0,2.5,Cash,2023-08-04
2672,4118,30,20230814,85.0,,Credit Card,2023-08-14
2673,4118,44,20230831,42.0,1.1,Cash,2023-08-31
2674,4118,36,20230914,173.0,2.0,Credit Card,2023-09-14
2675,4119,16,20221013,179.0,2.0,Credit Card,2022-10-13
2676,4119,3,20221220,103.0,1.7,Cash,2022-12-20
2677,4119,22,20221223,187.0,4.7,Credit Card,2022-12-23
2678,4119,8,20230112,138.0,3.1,Credit Card,2023-01-12
2679,4119,5,20230403,21.0,3.9,Cash,2023-04-03
2680,4119,31,20230403,195.0,4.0,Credit Card,2023-04-03
2681,4119,14,20230424,24.0,3.8,Cash,2023-04-24
2682,4119,48,20230519,64.0,4.1,Credit Card,2023-05-19
2683,4119,24,20230602,80.0,3.5,Cash,2023-06-02
2684,4119,48,20230618,90.0,3.3,Cash,2023-06-18
2685,4119,37,20230730,90.0,4.2,Cash,2023-07-30
2686,4119,5,20230731,60.0,1.1,Credit Card,2023-07-31
2687,4119,3,20230914,126.0,4.1,Cash,2023-09-14
2688,4120,15,20221017,31.0,4.8,Credit Card,2022-10-17
2689,4120,39,20221020,14.0,2.1,Cash,2022-10-20
2690,4120,13,20221022,153.0,4.0,Cash,2022-10-22
2691,4120,28,20221107,107.0,2.3,Cash,2022-11-07
2692,4120,37,20221225,152.0,,Credit Card,2022-12-25
2693,4120,15,20230116,155.0,,Cash,2023-01-16
2694,4120,43,20230129,85.0,2.5,Cash,2023-01-29
2695,4120,44,20230212,29.0,1.9,Credit Card,2023-02-12
2696,4120,35,20230303,112.0,1.3,Credit Card,2023-03-03
2697,4120,24,20230305,185.0,4.1,Credit Card,2023-03-05
2698,4120,47,20230427,169.0,1.2,Cash,2023-04-27
2699,4120,24,20230502,173.0,4.2,Credit Card,2023-05-02
2700,4120,29,20230531,192.0,3.9,Credit Card,2023-05-31
2701,4120,26,20230624,57.0,1.2,Credit Card,2023-06-24
2702,4120,16,20230711,107.0,4.0,Cash,2023-07-11
2703,4120,35,20230925,117.0,4.0,Credit Card,2023-09-25
2704,4120,34,20230926,139.0,2.7,Credit Card,2023-09-26
2705,4120,46,20230930,104.0,2.0,Credit Card,2023-09-30
2706,4121,39,20221008,11.0,1.4,Cash,2022-10-08
2707,4121,35,20221022,137.0,3.8,Cash,2022-10-22
2708,4121,26,20221214,85.0,3.4,Cash,2022-12-14
2709,4121,1,20221215,174.0,2.5,Credit Card,2022-12-15
2710,4121,4,20221224,176.0,4.6,Cash,2022-12-24
2711,4121,48,20230115,129.0,,Cash,2023-01-15
2712,4121,46,20230205,102.0,3.4,Credit Card,2023-02-05
2713,4121,24,20230224,132.0,2.1,Cash,2023-02-24
2714,4121,14,20230227,192.0,4.5,Cash,2023-02-27
2715,4121,2,20230321,44.0,2.5,Credit Card,2023-03-21
2716,4121,41,20230325,198.0,1.9,Credit Card,2023-03-25
2717,4121,35,20230411,27.0,3.6,Credit Card,2023-04-11
2718,4121,39,20230603,150.0,3.4,Credit Card,2023-06-03
2719,4121,23,20230604,115.0,,Cash,2023-06-04
2720,4121,26,20230607,154.0,,Credit Card,2023-06-07
2721,4121,26,20230708,20.0,,Credit Card,2023-07-08
2722,4121,41,20230730,189.0,2.6,Credit Card,2023-07-30
2723,4122,19,20221008,27.0,,Cash,2022-10-08
2724,4122,26,20221210,56.0,2.1,Cash,2022-12-10
2725,4122,43,20221227,37.0,2.8,Cash,2022-12-27
2726,4122,28,20221229,145.0,2.0,Cash,2022-12-29
2727,4122,40,20230101,69.0,3.7,Credit Card,2023-01-01
2728,4122,2,20230112,89.0,4.4,Credit Card,2023-01-12
2729,4122,31,20230124,177.0,1.6,Cash,2023-01-24
2730,4122,2,20230130,32.0,4.6,Cash,2023-01-30
2731,4122,16,20230130,77.0,4.9,Credit Card,2023-01-30
2732,4122,37,20230222,2881.0,,Credit Card,2023-02-22
2733,4122,17,20230226,139.0,2.0,Credit Card,2023-02-26
2734,4122,16,20230317,116.0,2.0,Cash,2023-03-17
2735,4122,20,20230320,67.0,4.4,Cash,2023-03-20
2736,4122,19,20230419,42.0,2.1,Cash,2023-04-19
2737,4122,20,20230427,58.0,4.7,Credit Card,2023-04-27
2738,4122,39,20230508,118.0,3.5,Cash,2023-05-08
2739,4122,28,20230516,85.0,3.9,Cash,2023-05-16
2740,4122,40,20230519,117.0,2.6,Credit Card,2023-05-19
2741,4122,3,20230606,170.0,4.6,Cash,2023-06-06
2742,4122,21,20230627,164.0,3.3,Cash,2023-06-27
2743,4122,28,20230728,114.0,3.1,Cash,2023-07-28
2744,4122,37,20230803,99.0,1.5,Cash,2023-08-03
2745,4122,7,20230806,120.0,4.2,Cash,2023-08-06
2746,4122,26,20230813,64.0,,Cash,2023-08-13
2747,4122,25,20230814,154.0,1.8,Credit Card,2023-08-14
2748,4122,13,20230829,150.0,,Credit Card,2023-08-29
2749,4122,30,20230902,109.0,5.0,Cash,2023-09-02
2750,4122,36,20230929,176.0,3.1,Credit Card,2023-09-29
1,3957,43,20221003,40.0,2.1,Cash,2022-10-03
2,3957,9,20221007,90.0,2.1,Credit Card,2022-10-07
3,3957,7,20221104,147.0,4.7,Cash,2022-11-04
4,3957,23,20230105,32.0,4.3,Cash,2023-01-05
5,3957,26,20230126,41.0,4.2,Credit Card,2023-01-26
6,3957,49,20230202,98.0,2.8,Cash,2023-02-02
7,3957,4,20230309,183.0,2.1,Credit Card,2023-03-09
8,3957,49,20230517,180.0,3.6,Cash,2023-05-17
9,3957,26,20230518,10.0,1.2,Credit Card,2023-05-18
10,3957,1,20230602,157.0,5.0,Cash,2023-06-02
11,3957,36,20230708,172.0,,Credit Card,2023-07-08
12,3958,43,20221102,42.0,3.1,Credit Card,2022-11-02
13,3958,26,20221118,119.0,1.9,Credit Card,2022-11-18
14,3958,38,20221119,105.0,4.6,Credit Card,2022-11-19
15,3958,37,20221128,123.0,1.6,Cash,2022-11-28
16,3958,29,20221217,140.0,2.0,Cash,2022-12-17
17,3958,24,20221229,162.0,1.1,Cash,2022-12-29
18,3958,45,20230112,101.0,3.3,Credit Card,2023-01-12
19,3958,19,20230120,124.0,,Cash,2023-01-20
20,3958,45,20230130,19.0,4.4,Cash,2023-01-30
21,3958,21,20230314,49.0,1.3,Cash,2023-03-14
22,3958,44,20230502,21.0,2.8,Credit Card,2023-05-02
23,3958,4,20230505,16.0,3.3,Cash,2023-05-05
24,3958,29,20230527,58.0,3.1,Credit Card,2023-05-27
25,3958,2,20230601,40.0,2.7,Cash,2023-06-01
26,3958,38,20230615,59.0,4.3,Credit Card,2023-06-15
27,3958,47,20230617,64.0,1.1,Cash,2023-06-17
28,3958,48,20230914,92.0,2.5,Credit Card,2023-09-14
29,3959,46,20221102,66.0,4.5,Cash,2022-11-02
30,3959,34,20221116,147.0,3.6,Cash,2022-11-16
31,3959,36,20221122,63.0,2.1,Cash,2022-11-22
32,3959,5,20221214,133.0,4.2,Credit Card,2022-12-14
33,3959,9,20230103,193.0,1.5,Credit Card,2023-01-03
34,3959,15,20230208,136.0,2.1,Credit Card,2023-02-08
35,3959,37,20230211,78.0,2.1,Cash,2023-02-11
36,3959,34,20230213,38.0,3.6,Credit Card,2023-02-13
37,3959,32,20230223,185.0,,Credit Card,2023-02-23
38,3959,20,20230311,30.0,1.5,Cash,2023-03-11
39,3959,9,20230509,163.0,3.5,Credit Card,2023-05-09
40,3959,48,20230527,18.0,3.9,Credit Card,2023-05-27
41,3959,34,20230607,135.0,3.3,Credit Card,2023-06-07
42,3959,19,20230621,147.0,3.3,Cash,2023-06-21
43,3959,15,20230626,96.0,3.9,Credit Card,2023-06-26
44,3959,3,20230630,153.0,1.8,Cash,2023-06-30
45,3959,14,20230630,119.0,4.6,Credit Card,2023-06-30
46,3959,34,20230711,38.0,,Credit Card,2023-07-11
47,3959,37,20230814,109.0,2.4,Cash,2023-08-14
48,3960,33,20221031,170.0,1.8,Cash,2022-10-31
49,3960,43,20221124,46.0,4.6,Cash,2022-11-24
50,3960,23,20221216,77.0,4.3,Cash,2022-12-16
51,3960,13,20230106,66.0,3.8,Cash,2023-01-06
52,3960,26,20230112,47.0,1.2,Cash,2023-01-12
53,3960,50,20230306,91.0,4.0,Credit Card,2023-03-06
54,3960,22,20230307,126.0,3.4,Credit Card,2023-03-07
55,3960,7,20230309,48.0,4.8,Credit Card,2023-03-09
56,3960,19,20230318,194.0,4.8,Cash,2023-03-18
57,3960,15,20230412,11.0,,Credit Card,2023-04-12
58,3960,40,20230414,161.0,,Credit Card,2023-04-14
59,3960,16,20230508,197.0,1.1,Cash,2023-05-08
60,3960,46,20230719,95.0,1.5,Cash,2023-07-19
61,3960,49,20230801,78.0,4.9,Cash,2023-08-01
62,3960,7,20230914,27.0,2.0,Credit Card,2023-09-14
63,3961,5,20221007,88.0,1.2,Cash,2022-10-07
64,3961,49,20221007,107.0,,Credit Card,2022-10-07
65,3961,33,20221028,40.0,1.9,Credit Card,2022-10-28
66,3961,15,20221107,19.0,2.2,Cash,2022-11-07
67,3961,39,20221117,56.0,2.7,Cash,2022-11-17
68,3961,13,20221205,162.0,3.0,Credit Card,2022-12-05
69,3961,27,20221206,151.0,4.1,Credit Card,2022-12-06
70,3961,41,20221230,172.0,2.3,Credit Card,2022-12-30
71,3961,33,20230123,26.0,1.3,Credit Card,2023-01-23
72,3961,49,20230209,167.0,1.9,Credit Card,2023-02-09
73,3961,29,20230224,60.0,1.6,Credit Card,2023-02-24
74,3961,11,20230302,120.0,1.7,Cash,2023-03-02
75,3961,19,20230619,191.0,3.7,Cash,2023-06-19
76,3961,4,20230705,112.0,,Cash,2023-07-05
77,3961,14,20230720,52.0,4.4,Credit Card,2023-07-20
78,3961,21,20230805,175.0,3.5,Cash,2023-08-05
79,3961,37,20230829,113.0,3.2,Cash,2023-08-29
80,3962,36,20221008,76.0,,Credit Card,2022-10-08
81,3962,23,20221115,176.0,3.1,Cash,2022-11-15
82,3962,36,20221208,168.0,3.5,Cash,2022-12-08
83,3962,48,20221209,35.0,2.1,Credit Card,2022-12-09
84,3962,1,20230113,190.0,1.5,Credit Card,2023-01-13
85,3962,36,20230124,175.0,2.9,Cash,2023-01-24
86,3962,46,20230202,50.0,2.8,Credit Card,2023-02-02
87,3962,1,20230211,169.0,,Credit Card,2023-02-11
88,3962,5,20230412,11.0,1.1,Credit Card,2023-04-12
89,3962,16,20230512,87.0,,Cash,2023-05-12
90,3962,13,20230521,148.0,2.1,Cash,2023-05-21
91,3962,23,20230621,148.0,1.8,Credit Card,2023-06-21
92,3962,28,20230925,184.0,2.6,Cash,2023-09-25
93,3963,37,20221004,150.0,,Credit Card,2022-10-04
94,3963,10,20221019,42.0,3.3,Cash,2022-10-19
95,3963,6,20221127,145.0,,Cash,2022-11-27
96,3963,23,20221205,165.0,3.9,Credit Card,2022-12-05
97,3963,45,20221216,86.0,1.5,Cash,2022-12-16
98,3963,20,20221227,52.0,2.3,Cash,2022-12-27
99,3963,28,20230302,184.0,1.6,Credit Card,2023-03-02
100,3963,49,20230709,110.0,4.8,Cash,2023-07-09
101,3963,2,20230802,126.0,1.7,Credit Card,2023-08-02
102,3963,39,20230824,94.0,1.4,Cash,2023-08-24
103,3963,9,20230826,143.0,4.5,Cash,2023-08-26
104,3963,15,20230905,141.0,4.9,Credit Card,2023-09-05
105,3963,31,20230919,70.0,3.5,Cash,2023-09-19
106,3963,18,20230920,84.0,2.1,Credit Card,2023-09-20
107,3964,3,20221109,110.0,2.9,Cash,2022-11-09
108,3964,48,20221118,98.0,4.2,Cash,2022-11-18
109,3964,7,20221217,39.0,2.4,Credit Card,2022-12-17
110,3964,23,20230115,103.0,1.5,Cash,2023-01-15
111,3964,13,20230204,101.0,2.3,Cash,2023-02-04
112,3964,2,20230207,166.0,3.1,Credit Card,2023-02-07
113,3964,20,20230209,58.0,,Credit Card,2023-02-09
114,3964,44,20230311,49.0,3.1,Credit Card,2023-03-11
115,3964,15,20230317,45.0,4.8,Cash,2023-03-17
116,3964,25,20230430,191.0,2.5,Credit Card,2023-04-30
117,3964,21,20230510,141.0,1.3,Cash,2023-05-10
118,3964,33,20230512,172.0,4.3,Credit Card,2023-05-12
119,3964,48,20230518,159.0,1.7,Credit Card,2023-05-18
120,3964,18,20230527,110.0,2.3,Cash,2023-05-27
121,3964,18,20230803,123.0,3.2,Credit Card,2023-08-03
122,3964,25,20230805,44.0,,Cash,2023-08-05
123,3964,38,20230915,132.0,2.2,Credit Card,2023-09-15
124,3965,37,20221003,148.0,1.6,Cash,2022-10-03
125,3965,2,20221007,117.0,1.8,Credit Card,2022-10-07
126,3965,34,20221023,49.0,2.8,Cash,2022-10-23
127,3965,4,20221222,171.0,1.9,Cash,2022-12-22
128,3965,6,20230103,43.0,1.5,Credit Card,2023-01-03
129,3965,36,20230107,44.0,,Credit Card,2023-01-07
130,3965,11,20230213,43.0,2.6,Cash,2023-02-13
131,3965,45,20230213,158.0,2.8,Cash,2023-02-13
132,3965,48,20230219,107.0,4.0,Credit Card,2023-02-19
133,3965,45,20230328,200.0,,Cash,2023-03-28
134,3965,14,20230427,86.0,1.8,Cash,2023-04-27
135,3965,22,20230626,175.0,2.1,Cash,2023-06-26
136,3965,15,20230713,119.0,2.2,Cash,2023-07-13
137,3965,29,20230812,23.0,1.3,Credit Card,2023-08-12
138,3965,50,20230818,89.0,4.5,Cash,2023-08-18
139,3965,26,20230830,118.0,,Credit Card,2023-08-30
140,3965,37,20230915,52.0,3.8,Cash,2023-09-15
141,3965,28,20230928,176.0,3.6,Cash,2023-09-28
142,3966,13,20221004,92.0,4.2,Credit Card,2022-10-04
143,3966,5,20221101,181.0,,Credit Card,2022-11-01
144,3966,18,20230107,126.0,,Credit Card,2023-01-07
145,3966,27,20230108,87.0,3.3,Cash,2023-01-08
146,3966,16,20230305,114.0,3.4,Credit Card,2023-03-05
147,3966,49,20230403,162.0,2.2,Cash,2023-04-03
148,3966,49,20230504,154.0,4.5,Cash,2023-05-04
149,3966,6,20230531,143.0,1.8,Cash,2023-05-31
150,3966,34,20230601,196.0,3.7,Cash,2023-06-01
151,3966,44,20230614,181.0,3.6,Credit Card,2023-06-14
152,3966,9,20230820,24.0,3.8,Cash,2023-08-20
153,3966,25,20230828,151.0,1.8,Credit Card,2023-08-28
154,3966,34,20230917,33.0,1.4,Credit Card,2023-09-17
155,3967,36,20221006,148.0,4.1,Credit Card,2022-10-06
156,3967,44,20221015,56.0,4.0,Credit Card,2022-10-15
157,3967,5,20221019,18.0,4.8,Cash,2022-10-19
158,3967,14,20221115,94.0,1.8,Cash,2022-11-15
159,3967,30,20221119,147.0,4.3,Credit Card,2022-11-19
160,3967,29,20230110,187.0,1.1,Credit Card,2023-01-10
161,3967,6,20230122,187.0,3.5,Credit Card,2023-01-22
162,3967,11,20230203,99.0,4.0,Cash,2023-02-03
163,3967,44,20230204,12.0,,Credit Card,2023-02-04
164,3967,1,20230224,124.0,4.8,Cash,2023-02-24
165,3967,2,20230403,69.0,3.0,Cash,2023-04-03
166,3967,9,20230421,168.0,4.9,Credit Card,2023-04-21
167,3967,29,20230506,188.0,3.3,Cash,2023-05-06
168,3967,22,20230601,140.0,3.4,Credit Card,2023-06-01
169,3967,38,20230705,25.0,4.3,Cash,2023-07-05
170,3967,40,20230706,100.0,1.1,Cash,2023-07-06
171,3967,48,20230727,13.0,3.9,Credit Card,2023-07-27
172,3967,7,20230911,38.0,3.9,Credit Card,2023-09-11
173,3967,25,20230926,150.0,2.5,Credit Card,2023-09-26
174,3968,7,20221005,51.0,1.8,Credit Card,2022-10-05
175,3968,25,20221005,62.0,1.6,Cash,2022-10-05
176,3968,13,20221027,17.0,3.8,Credit Card,2022-10-27
177,3968,24,20221111,194.0,2.6,Credit Card,2022-11-11
178,3968,50,20221117,126.0,4.3,Credit Card,2022-11-17
179,3968,24,20221201,23.0,1.9,Cash,2022-12-01
180,3968,9,20221205,46.0,2.0,Credit Card,2022-12-05
